hidden_size,time,accuracy
1.500000000000000000e+01,7.417450699955224991e+00,8.449999999999999734e-01
3.000000000000000000e+01,1.247774070000741631e+01,8.599999999999999867e-01
4.500000000000000000e+01,1.235383049998199567e+01,8.699999999999999956e-01
6.000000000000000000e+01,1.772952310001710430e+01,8.699999999999999956e-01
7.500000000000000000e+01,2.262954540003556758e+01,8.850000000000000089e-01
9.000000000000000000e+01,2.691107799997553229e+01,8.900000000000000133e-01
1.200000000000000000e+02,3.631006459996569902e+01,9.100000000000000311e-01
1.500000000000000000e+02,5.671931830001994967e+01,8.800000000000000044e-01
1.800000000000000000e+02,6.597682560002431273e+01,8.850000000000000089e-01
2.100000000000000000e+02,7.570515049999812618e+01,8.750000000000000000e-01
